ISSR_LGL_NAME,MarketingName,State,image_url_1
UnitedHealthcare Insurance Company,UnitedHealthcare Insurance Company,MN,http://www.healthplansonline.com/images/logos/health/uhc_logo.jpg
Protective Life Insurance Company,,GA,http://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/0/c2/0c216363-5a62-5e32-a893-8c4302ea46c2/538fd48c023cd.preview-620.jpg
UNICARE Life & Health Insurance Company,,MN,http://www.nextdoorchiro.com/images/Insurance-Logos.jpg
United of Omaha Life Insurance Company,,WV,https://www.immediateannuities.com/images/logos-insco/united-omaha.jpg
Thrivent Financial for Lutherans,,HI,http://2.bp.blogspot.com/_DmtdGP6kzMQ/S7jkzluNHnI/AAAAAAAAN44/0tUqR9RpOBw/s1600/logo-ThriventFinancial.gif
TRUASSURE INSURANCE COMPANY,TruAssure Insurance Company,KS,
National Foundation Life Insurance,,ID,http://cmprsapaceawards.com/Portals/paceawards/Images/Pictures/JACKSON-NLIC-RGB.jpg
Starr Indemnity & Liability Company,,GA,https://add.eaainsurance.org/images/StarrLogo_new.png
"New York State Catholic Health Plan, Inc.",Fidelis Care,NY,http://www.cayugamed.org/wsimages/fidelislogo.jpg
Pan-American Life Insurance Company ,,IL,http://www.ecumgu.com/images/Logo-Pan-Amrican-Seguros-Colombia.jpg
American Income Life Insurance Co,,NY,http://www.fopohio.org/images/AIL%20Logo.png
World Corp Insurance Company,,GA,http://logopond.com/logos/f46ecdf79d3da6f420fa81cb773555f8.png
Kansas City Life Insurance Company,Kansas City Life Insurance Company,NJ,http://upload.wikimedia.org/wikipedia/de/thumb/d/d8/Kansas_City_Life_Insurance_Company_Logo.svg/1280px-Kansas_City_Life_Insurance_Company_Logo.svg.png
LifeMap Assurance Company,,WA,http://www.oregonhealth-insurance.com/shared/images/lifemap/LifeMap_Logo_Color.jpg
"Humana Insurance Company of Kentucky, Inc. ",,SC,http://www.insuranceproviders.com/Images/360healthbystate_doc_647d9071.jpg
"National Union Fire Insurance Company of Pittsburgh, Pa.",,PA,http://www.sec.gov/Archives/edgar/containers/fix044/1087961/000119312506255339/g30533page12.jpg
Union Security Insurance Company,Assurant Health,MN,http://www.rehabilitation-center.org/wp-content/uploads/2012/08/Assurant-Health.jpg
Standard Insurance Company,Standard Insurance Company ,IA,http://www.insurancelevel.com/company/logo/standard-insurance.gif
Mid-West National Life Insurance Company of Tennessee,,PA,"http://i.ebayimg.com/t/VINTAGE-PROMO-GIVE-AWAY-NATIONAL-LIFE-AND-ACCIDENT-INSURANCE-COMPANY-SEWING-KIT-/00/s/MTYwMFgxNDcw/$(KGrHqNHJBEE9ps,tP3nBPb!PMG0u!~~60_57.JPG"
Trustmark Life Insurance Company,,WI,http://www.healthy-monroe.com/images/starmark.jpg
Humana Health Plan. Inc.,,MO,http://healthpopuli.com/wp-content/uploads/2011/03/humana.jpg
Security Life Insurance Company of America,Security Life Insurance Company of America,ID,http://www.securitylife.com/images/logos/security-life-logo.png?sfvrsn=8
"Dental Health Services, Inc.",,OR,http://insurancebydesign.net/wp-content/uploads/2012/06/Dental-Health-Services-logo.gif
"SelectHealth, Inc.",,ID,http://selecthealth.org/SiteCollectionImages/logo_horizontal.jpg
"Humana Insurance Company, Inc.",Humana,IA,http://www.wilsonfiquettdental.com/wp-content/uploads/2013/03/humana-logo.jpg
AMERICAN COMMUNITY MUTUAL INSURANCE COMPANY,,MI,http://www.getyouradvantage.com/images/carrier-logos/American-Community.jpg
Assurity Life Insurance Company,,NC,http://www.ranklogos.com/wp-content/uploads/2012/04/Assurity-Insurance-Logo.jpg
BCS Insurance Company,,WI,https://pbs.twimg.com/profile_images/1866386635/bcs_facebook_logo_400x400.jpg
Mid-West National Life Insurance Company of Tennessee,,MA,"http://i.ebayimg.com/t/VINTAGE-PROMO-GIVE-AWAY-NATIONAL-LIFE-AND-ACCIDENT-INSURANCE-COMPANY-SEWING-KIT-/00/s/MTYwMFgxNDcw/$(KGrHqNHJBEE9ps,tP3nBPb!PMG0u!~~60_57.JPG"
Union Security Insurance Company,Assurant Employee Benefits,LA,http://www.assurantemployeebenefits.com/wps/themes/html/Assurant/assets/images/btns/logo.gif
United States Branch of the Sun Life Assurance Company of Canada,,IL,http://upload.wikimedia.org/wikipedia/en/thumb/6/64/Sun_Life_Financial_logo.svg/677px-Sun_Life_Financial_logo.svg.png
American Medical Security Life Ins Co,,VA,http://medicareinsurancetexas.com/inc/images/logo-sentinel-life.jpg
New York Life Insurance Co.,,ND,http://logonoid.com/images/new-york-life-logo.png
"Everence Association, Inc","Everence Association, Inc",MD,http://www.everence.com/images/logo_everence.gif
United American Insurance Co,,NC,http://www.insurancelevel.com/company/logo/united-american.gif
Globe Life and Accident Insurance Co,,NY,http://media.glassdoor.com/sqll/282144/globe-life-and-accident-insurance-company-squarelogo.png
ascot enterprises inc,alan,IN,http://logos.textgiraffe.com/logos/logo-name/Alan-designstyle-summer-m.png
Thrivent Financial for Lutherans,,UT,http://2.bp.blogspot.com/_DmtdGP6kzMQ/S7jkzluNHnI/AAAAAAAAN44/0tUqR9RpOBw/s1600/logo-ThriventFinancial.gif
American General Life Insurance Company,,OK,http://www.insurancelevel.com/company/logo/american-general.gif
UnitedHealthcare Insurance Company of New York,UnitedHealthcare Insurance Company of New York,NY,http://www.elbertins.com/images/united_health_care_logo.gif
Starr Indemnity & Liability Company,,MI,https://add.eaainsurance.org/images/StarrLogo_new.png
Renaissance Life & Health Insurance Company of America,Delta Dental,NC,http://www.logotypes101.com/logos/772/749EBFAA09522281FFD3F47E4D959370/delta_dental.png
Nationwide Life Insurance Company,,DC,http://asppamarketingkit.org/wp-content/uploads/2014/09/Nationwide_insurance_logo.jpg
"Group Health Options, Inc.",,WA,http://www.trademarkia.com/logo-images/group-health-cooperative/group-health-options-inc-76540706.jpg
National Foundation Life Insurance Company,,WV,https://ektron.nationallifegroup.com/uploadedImages/Logo_NationalLifeGroup.jpg
AMERICAN FIDELITY ASSURANCE COMPANY,,WI,http://www.insurancelevel.com/company/logo/american-fidelity.jpg
Wilton Reassurance Company,,AL,http://www.freekymonkey.com/pictures/aa676a.JPG
Tufts Insurance Company,,VT,http://www.nyhealthinsurer.com/wp-content/uploads/2012/06/Tufts-Health-Plan.jpg
Pekin Life Insurance Company,Pekin Life Insurance Company,TN,http://ww1.prweb.com/prfiles/2010/02/28/3666174/0_PekinInsuranceLogo.jpg
"Everence Association, Inc","Everence Association, Inc",FL,http://www.everence.com/images/logo_everence.gif
Delta Dental Plan of South Dakota,Delta Dental of South Dakota,SD,http://www.deltadentalsd.com/SDDA_LOGO_2007.jpg
All Savers Insurance Company,,WV,https://myallsaversmember.com/filestore/%7B7151ca57-92be-41aa-8557-b09de24ee5dc%7D/CMS/Graphics/logo_member.png
Georgia Health Marketplace LLC,,GA,https://ambetter.pshpgeorgia.com/content/dam/centene/peachstate/Logos/Ambetter_PeachState.png
Wellmark Health Plan of Iowa,Wellmark Health Plan of Iowa,IA,http://bloximages.chicago2.vip.townnews.com/wcfcourier.com/content/tncms/assets/v3/editorial/d/df/ddf64bf2-603f-11e2-8e0b-0019bb2963f4/50f74adea1b0a.preview-620.jpg
BCS Insurance Company,,NV,https://pbs.twimg.com/profile_images/1866386635/bcs_facebook_logo_400x400.jpg
BCS Insurance Company,,KY,https://pbs.twimg.com/profile_images/1866386635/bcs_facebook_logo_400x400.jpg
UnitedHealthcare Insurance Company,UnitedHealthcare,VA,http://wheelhc.com/assets/img/Major_Insurance_Plans_Logos/05-UnitedHealthCare.PNG
United Teachers Associates,,ID,http://utaic.com/Portals/5/UTA_PMS_logo.png
Union Fidelity Life Insurance Company,,KY,http://www.trademarkia.com/logo-images/financial-holding-corporation/united-fidelity-life-insurance-company-85646975.jpg
SelectHealth,,ID,http://selecthealth.org/SiteCollectionImages/logo_horizontal.jpg
Philadelphia American Life Insurance Company,,OR,http://www.pijarinsurance.com/images/partners/philadelphia.jpg
"Delta Dental of Delaware, Inc.",,DE,http://www.deltadental.com/images/logo_delta_dental.gif
First Allmerica Financial Life Ins. Co,,SC,http://www.insurancelevel.com/company/logo/allmerica-financial.gif
American Republic Insurance Company,,OH,http://www.americanrepublic.com/images/aric-logo.png
American Income Life Insurance Co,,CT,http://www.fopohio.org/images/AIL%20Logo.png
Freedom Life Insurance Company of America,,OH,http://www.mylesthurston.com/wp-content/uploads/2012/03/Financial-Freedom-1.jpg
CGI Company Test,,WA,http://upload.wikimedia.org/wikipedia/commons/2/2e/CGI_Group_logo.svg
Blue Cross and Blue Shield of South Carolina,BlueCross BlueShield of South Carolina,SC,http://pawleysmusic.com/wp-content/uploads/logo-scblues.png
BEST Life and Health Insurance Company,BEST Life,NM,http://hersheys.newslinevine.com/images/full/best_life_logo.jpg
Thrivent Financial for Lutherans,,WY,http://2.bp.blogspot.com/_DmtdGP6kzMQ/S7jkzluNHnI/AAAAAAAAN44/0tUqR9RpOBw/s1600/logo-ThriventFinancial.gif
MAMSI Life and Health Insurance Company,,MI,http://www.myurgentcare.com/content/images/insurances/mamsi_logo.gif
New York Life Insurance Co.,,WY,http://logonoid.com/images/new-york-life-logo.png
Freedom Life Insurance Company of America,,IL,http://www.mylesthurston.com/wp-content/uploads/2012/03/Financial-Freedom-1.jpg
United of Omaha Life Insurance Company,United of Omaha Life Insurance Company ,NE,https://www.immediateannuities.com/images/logos-insco/united-omaha.jpg
"Capital Senior Living, Inc.",,TX,http://www.elderoptionsoftexas.com/images/capital_senior_living_logo.jpg
The Lincoln National Life Insurance Company,Lincoln Financial Group,KY,http://images.all-free-download.com/images/graphiclarge/lincoln_financial_group_67648.jpg
First Health Life & Health Insurance Co.,,MA,http://3.bp.blogspot.com/-R3jCbJADDgk/UfxPjqfla0I/AAAAAAABP0U/NnyCzb4CzoQ/s1600/NEW+HEALTHFIRST+LOGO.PNG
National Health Insurance Company,Small Group,WI,http://www.creationswap.com/artwork/6/5/61/6561/6561_6561_5.jpg
American States Insurance Company,,AK,http://upload.wikimedia.org/wikipedia/en/thumb/c/cc/American_National_Insurance_Co_%28anico%29_Logo.svg/180px-American_National_Insurance_Co_%28anico%29_Logo.svg.png
Prudential Insurance Company of America,,SD,http://www.trademarkia.com/logo-images/prudential-insurance-company-of-america/prudential-center-77077075.jpg
The Union Labor Life Insurance Company,,SC,http://thumb1.shutterstock.com/display_pic_with_logo/1018532/185226650/stock-vector-customer-care-care-for-employees-labor-union-crm-and-life-insurance-concepts-businessman-185226650.jpg
FFE RR Test Issuer 515,FFE RR Test Issuer M 515,KS,https://s1.yimg.com/lm/ysbp/img/cRER8bLs7z2TUZfHXoBwpbScf_tC8wVxzhtLhH_fXlbRHSLUpg4z5EpHySh7Zqbv.jpg
Unimerica Insurance Company,,VT,http://www.insurance-wholesalers.com/AetnaLogoColorproc.jpg
CGI Test Issuer,,MD,http://www.pengadprinting.com/drupal6/core/sites/default/files/Logo.png
Washington National Insurance Company,,GA,http://www.indeed.com/cmp/_s/logos/2617e9b5ae6ef4a6
Companion Life Insurance Company,Companion Life Insurance Company,SD,http://www.newhorizonsmktg.com/images/CompanyLogos/companion-life.png
Corsicana Bedding Inc ,Corsicana Bedding Inc ,TX,http://decorhillfurniture.com/yahoo_site_admin/assets/images/corsicana_logo292135630_std.237233138_std.gif
"Managed DentalGuard,Inc.",Guardian,TX,http://icould.com/files/2012/01/guardian-logo.jpg
UPMC Welfare Benefits Plan,,PA,http://share.upmc.com/wp-content/uploads/2014/10/upmc-logo-185x175.png
Perico Life Insurance Company,,VT,http://www.trademarkia.com/services/logo.ashx?sid=85113855
The Ohio State Life Insurance Company,,TX,http://www.yellowhammerinsurance.com/images/carrierlogos/cincinnati_life_insurance_company.jpg
State Farm Mutual Automobile Ins. Co.,,NC,http://www.knowmore.org/wiki/images/e/ed/State_Farm_Mutual_Automobile_Insurance_Company-logo.png
Tufts Insurance Company,,RI,http://www.nyhealthinsurer.com/wp-content/uploads/2012/06/Tufts-Health-Plan.jpg
Companion Life Insurance Company,Companion Life Insurance Company,MI,http://www.newhorizonsmktg.com/images/CompanyLogos/companion-life.png
Connecticut General Life Insurance Co,CIGNA,IL,http://3.bp.blogspot.com/-fDrftTwqhxE/TaGVSKh7BsI/AAAAAAAAoDM/lcCI29x2nOM/s1600/Cigna_Logo.jpg
"SafeGuard Health Plans, Inc., a California Corporation",,CA,http://www.trademarkia.com/logo-images/safeguard-health-enterprises/safeguard-vision-78308829.jpg
UNICARE Life & Health Insurance Company,,LA,http://www.nextdoorchiro.com/images/Insurance-Logos.jpg
Mutual of Omaha Insurance Company,,TX,https://consumeraffairs.global.ssl.fastly.net/files/logos/mutual-of-omaha_logo_891.jpg
State Farm Mutual Automobile Ins. Co.,,HI,http://www.knowmore.org/wiki/images/e/ed/State_Farm_Mutual_Automobile_Insurance_Company-logo.png
American National Life Insurance Company of Texas,,AR,http://www.moodyinsurancegroup.com/wp-content/uploads/2012/05/ANICO-logo_color_RGB.jpg
"Oxford Health Plans (NY), Inc.",UnitedHealthcare Oxford,NY,https://www.unitedhealthcareonline.com/ccmcontent/ProviderII/UHC/en-US/Assets/Images/Affiliates/OXHP_K_horizsmall.jpg
UNICARE Life & Health Insurance Company,,PA,http://www.nextdoorchiro.com/images/Insurance-Logos.jpg
American National Life Insurance Company of Texas,,KY,http://www.moodyinsurancegroup.com/wp-content/uploads/2012/05/ANICO-logo_color_RGB.jpg
Freedom Life Insurance Company of America,,NM,http://www.mylesthurston.com/wp-content/uploads/2012/03/Financial-Freedom-1.jpg
The Goodyear Tire & Rubber Company,,OH,http://lxandbeyondnats.com/blog/wp-content/uploads/GoodyearTire.jpg
Pan-American Life Insurance Company ,,OH,http://www.ecumgu.com/images/Logo-Pan-Amrican-Seguros-Colombia.jpg
Unimerica Insurance Company,,NY,http://www.insurance-wholesalers.com/AetnaLogoColorproc.jpg
Highmark Health Insurance Company - West,Highmark Health Insurance Company,PA,http://ww1.prweb.com/prfiles/2015/02/19/12546303/HighmarkHlth4c.jpg
"SHA, LLC DBA FirstCare Health Plans",FirstCare Health Plans,TX,https://www.samanage.com/wp-content/uploads/2015/05/firstcare-logo.png
Union Fidelity Life Insurance Company,,MO,http://www.trademarkia.com/logo-images/financial-holding-corporation/united-fidelity-life-insurance-company-85646975.jpg
4 Ever Life Insurance Company,,OH,http://www.bcsf.com/images/bcsf_images/4ever_logo_color-large.png
Trustmark Life Insurance Company,,MS,http://www.healthy-monroe.com/images/starmark.jpg
"Everence Association, Inc","Everence Association, Inc",IN,http://www.everence.com/images/logo_everence.gif
New York Life Insurance Company,,SC,http://thefirstteemetny.org/Images/Library/NewYorkLifeInsurance.jpg
Guarantee Trust Life Insurance Co.,,IA,http://www.refugeinsurance.com/images/GTL%20logo.jpg
"Oxford Health Plans (CT), Inc",,CT,http://images.all-free-download.com/images/graphiclarge/oxford_health_plans_84136.jpg
Knights of Columbus,,CA,https://keenforgod.files.wordpress.com/2014/12/kofc-logo-jpg.jpg
Kanawha Insurance Company ,Humana,RI,http://www.wilsonfiquettdental.com/wp-content/uploads/2013/03/humana-logo.jpg
Coventry Health & Life Insurance Co.,,WV,http://upload.wikimedia.org/wikipedia/en/4/4d/Coventry_Health_Care_logo.png
Liberty Mutual Insurance Company,,MO,http://3.bp.blogspot.com/-LSUTTz1c5ag/TVluUX9MdKI/AAAAAAAAAGM/rTH7XCUq6pU/s1600/LibertyMutual.jpg
First Allmerica Financial Life Ins. Co,,PA,http://www.insurancelevel.com/company/logo/allmerica-financial.gif
Connecticut General Life Insurance Co,,CT,https://lh4.googleusercontent.com/-FXJ7HWu2aVw/TYXtZ6TPnMI/AAAAAAAAAsI/Ma_Hz2nRKuA/s500/Connecticut+General+Life+logo+1950s.png
BEST Life and Health Insurance Company,,WA,http://www.chooseterm.com/wp-content/uploads/2012/11/life-insurance-logos-vert.png
New York Life Insurance Company,,MI,http://thefirstteemetny.org/Images/Library/NewYorkLifeInsurance.jpg
Sun Life and Health Insurance Company (U.S.),,CT,http://cdn.sunlife.com/static/canada/images/logo_yellowbkgrd_bluelogo_1200x1200.jpg
Wilton Reassurance Company,,MT,http://www.freekymonkey.com/pictures/aa676a.JPG
"Premier Health Plan, Inc.",Premier Health Plan,OH,http://www.premierhealth.com/GlobalResources/images/g_logo.png
"Health Net Insurance of New York, Inc.",,NY,http://www.drjanshim.com/images/logo_HIP.gif
"Cigna HealthCare of St. Louis, Inc",,MO,http://www.gannett-cdn.com/-mm-/1ac322a18e907ea6144768f9e1cab658e381d5ea/c=154-0-992-630&r=x404&c=534x401/local/-/media/2015/10/22/FortMyers/FortMyers/635810948694977598-cigna-logo-og.jpg
Tokio Marine Pacific Insurance Limited,,MP,http://static.ipaustralia.com.au/store3/14/41/1441463.1.high.jpg
Liberty Mutual Insurance Company,Liberty Mutual Insurance ,PA,http://www.glso.org/enews/wp-content/uploads/2012/08/Liberty-Mutual-Insurance-Logo.jpg
All Savers Insurance Company,United Health One,MS,http://wheelhc.com/assets/img/Major_Insurance_Plans_Logos/05-UnitedHealthCare.PNG
FFE RR Test Issuer 512,FFE RR Test Issuer M 512,IL,
Nationwide Life Insurance Company,,OK,http://asppamarketingkit.org/wp-content/uploads/2014/09/Nationwide_insurance_logo.jpg
Allianz Life Insurance Company of North America,,CT,http://scherrerfinancial.com/images/Allianz.gif
Dentegra Insurance Company,,RI,http://logosdatabase.com/logoimages/76142836.jpg
"Presbyterian Health Plan, Inc.",,NM,http://b.vimeocdn.com/ps/379/386/3793862_300.jpg
Delta Dental of Minnesota,,MN,http://mnyouth.net/files/Delta-Dental-logo.jpg
Central United Life Insurance Company,,CO,http://www.manhattanlife.com/Portals/0/LayerSlider3D/490/cul.png
Golden Rule Insurance Company,UnitedHealthOne,TX,http://healthplanorange.com/images/logos/logo-United-Healthcare.jpg
Philadelphia American Life Insurance Company,,UT,http://www.pijarinsurance.com/images/partners/philadelphia.jpg
AMERICAN COMMUNITY MUTUAL INSURANCE COMPANY,,KS,http://www.getyouradvantage.com/images/carrier-logos/American-Community.jpg
Central United Life Insurance Company,,ME,http://www.manhattanlife.com/Portals/0/LayerSlider3D/490/cul.png
BEST Life and Health Insurance Company,BEST Life,AR,http://hersheys.newslinevine.com/images/full/best_life_logo.jpg
LifeMap Assurance Company,,AK,http://www.oregonhealth-insurance.com/shared/images/lifemap/LifeMap_Logo_Color.jpg
Cigna Health and Life Insurance Company,,ND,https://lh4.googleusercontent.com/-cqRR-y6ELDk/TW-5wpmCPjI/AAAAAAAAAqs/Dgf9YZz67x4/s1600/cigna-health-insurance-logo.jpg
Guarantee Trust Life Insurance Company,,NE,http://www.refugeinsurance.com/images/GTL%20logo.jpg
New Era Life Insurance Company of the MidWest,,PA,http://www.elbertins.com/images/united_health_care_logo.gif
United Teachers Associates,,NH,http://utaic.com/Portals/5/UTA_PMS_logo.png
NetCare Life and Health Insurance Company,NetCare Life and Health Insurance Company,MP,http://www.insurancejunction.co.za/img/netcare-265.jpg
Unimerica Insurance Company,,MD,http://www.insurance-wholesalers.com/AetnaLogoColorproc.jpg
"HealthSpring of Tennessee, Inc.",,TN,http://www.faqs.org/sec-filings/100827/HealthSpring-Inc_8-K/c05460p0546001.gif
Thrivent Financial for Lutherans,,KS,http://2.bp.blogspot.com/_DmtdGP6kzMQ/S7jkzluNHnI/AAAAAAAAN44/0tUqR9RpOBw/s1600/logo-ThriventFinancial.gif
American Progressive Life & Health Insurance Company of New York,American Progressive Life & Health Insurance Company of New York,MA,http://www.universalamericaninsuranceplans.com/images/logos/american_progressive.png
Union Security Insurance Company,Assurant Health,MO,http://www.rehabilitation-center.org/wp-content/uploads/2012/08/Assurant-Health.jpg
Kansas City Life Insurance Company,Kansas City Life Insurance Company,MI,http://upload.wikimedia.org/wikipedia/de/thumb/d/d8/Kansas_City_Life_Insurance_Company_Logo.svg/1280px-Kansas_City_Life_Insurance_Company_Logo.svg.png
The Lincoln National Life Insurance Company,Lincoln Financial Group,HI,http://images.all-free-download.com/images/graphiclarge/lincoln_financial_group_67648.jpg
Nationwide Life Insurance Company,,WY,http://asppamarketingkit.org/wp-content/uploads/2014/09/Nationwide_insurance_logo.jpg
American Income Life Insurance Co,,GA,http://www.fopohio.org/images/AIL%20Logo.png
"Humana Insurance Company of Kentucky, Inc. ",,UT,http://www.insuranceproviders.com/Images/360healthbystate_doc_647d9071.jpg
The MEGA Life and Health Insurance Company,,MA,http://www.trademarkia.com/logo-images/the-mega-life-and-health-insurance-company/starbridge-choices-78510546.jpg
"UnitedHealthcare of Ohio, Inc","UnitedHealthcare of Ohio, Inc",OH,http://www.uhccommunityandstate.com/content/dam/community-state/Article%20Images/Community_Plan_logo.jpg
Federated Mutual Insurance Company,,OK,http://www.themla.com/Graphics/BigFederatedInsurance.jpg
"Community Health Choice, Inc.",Community Health Choice,TX,https://kinder.rice.edu/uploadedImages/Kinder_Institute_for_Urban_Research/Programs/UrbanHealthProgram/CHC_tag_horz.jpg
American Medical Security Life Insurance Company,,NM,http://medicareinsurancetexas.com/inc/images/logo-sentinel-life.jpg
Carolina Care Plan,,SC,http://www.trademarkia.com/logo-images/medical-mutual-of-ohio/carolina-care-plan-77682209.jpg
Holman Professional Counseling Centers,,CA,http://www.familycounselingcenterutah.com/wp-content/uploads/2015/01/family-counseling-center-logo-2014.png
Kaiser Permanente Insurance Company,Kaiser Permanente,CA,http://www.theweedstreetjournal.com/wp-content/uploads/2010/09/kaiser_permanente_logo.jpg
Standard Life and Accident Insurance Company,,TX,https://www.dignityplanning.com/standardlife/images/SLAICO-LOGO-COLOR_WITHPATH1_NO-CITY.gif
"All States Ag Parts, Inc",,SD,http://www.trademarkia.com/logo-images/all-states-ag-parts/all-states-ag-parts-parts-asap-77490334.jpg
"Health First Health Plans, Inc.",Health First - Florida Hospital,FL,http://ww1.prweb.com/prfiles/2014/12/09/12383311/Health-First-Logo.jpg
"Hometown Health Plan, Inc.",,NV,http://cf.juggle-images.com/matte/white/280x280/hometown-health-plan-logo-primary.jpg
"Humana Insurance Company of Kentucky, Inc. ",,PA,http://www.insuranceproviders.com/Images/360healthbystate_doc_647d9071.jpg
Trustmark Life Insurance Company,,MO,http://www.healthy-monroe.com/images/starmark.jpg
Guardian Life Insurance Company of America,Guardian,HI,http://icould.com/files/2012/01/guardian-logo.jpg
Time Insurance Company,,MN,http://www.emergencyfloodservices.net/wp-content/uploads/2013/04/logos.png
Weight Watchers Intl Inc.,,VA,http://tommytoy.typepad.com/.a/6a0133f3a4072c970b017d4261aa7e970c-550wi
Liberty Union Life Assurance Company,Michigan MedChoices,MI,
American National Life Insurance Company of Texas,,DC,http://www.moodyinsurancegroup.com/wp-content/uploads/2012/05/ANICO-logo_color_RGB.jpg
Union Fidelity Life Insurance Company,,GA,http://www.trademarkia.com/logo-images/financial-holding-corporation/united-fidelity-life-insurance-company-85646975.jpg
Capital BlueCross,,PA,http://media.pennlive.com/midstate_impact/photo/capital-bluecross-logo-730e33ef6957beac.jpg
Guarantee Trust Life Insurance Company,,AL,http://www.refugeinsurance.com/images/GTL%20logo.jpg
Kaiser Permanente Insurance Company,,MD,https://consumeraffairs.global.ssl.fastly.net/files/logos/kaiser-permanente_logo_376.jpg
Time Insurance Company,Assurant Health,VT,http://www.rehabilitation-center.org/wp-content/uploads/2012/08/Assurant-Health.jpg
Blue Cross of California(Anthem BC),Anthem Blue Cross,CA,http://www.vectorsland.com/imgd/l48025-anthem-logo-27578.png
Arches Mutual Insurance Company,Arches Health Plan,UT,http://farm9.staticflickr.com/8244/8635929311_b6f068223b_z.jpg
Connecticut General Life Insurance Company,,MA,http://www.insurancelevel.com/company/logo/cigna.jpg
"Gundersen Health Plan, Inc.","Gundersen Health Plan, Inc.",IA,http://healthierhospitals.org/sites/default/files/styles/leadership_spotlight_logo_node_280x240/public/spotlight-images/gundersen_envision_logo.jpg
Standard Life and Accident Insurance Company,,NM,https://www.dignityplanning.com/standardlife/images/SLAICO-LOGO-COLOR_WITHPATH1_NO-CITY.gif
"JPS Industries, Inc.","JPS Industries, Inc.",SC,http://seeklogo.com/images/J/jps-industries-logo-5B3C1A6107-seeklogo.com.gif
"AmeriChoice of Connecticut, Inc.",UnitedHealthcare,CT,http://wheelhc.com/assets/img/Major_Insurance_Plans_Logos/05-UnitedHealthCare.PNG
American Republic Insurance Company,,LA,http://www.americanrepublic.com/images/aric-logo.png
Shelter Life Insurance Company,,HI,http://www.yellville.com/shelter-insurance-logo_copy.jpg
United Teachers Associates,,LA,http://utaic.com/Portals/5/UTA_PMS_logo.png
Hartford Life & Accident Insurance Company,,MA,http://www.trademarkia.com/logo-images/hartford-fire-insurance-company/hartford-life-75381578.jpg
"BlueCross BlueShield Kansas Solutions, Inc.","BlueCross BlueShield Kansas Solutions, Inc.",KS,http://healthykansans2020.org/Images/Partners/bcbsks_logo.jpg
Allianz Life Insurance Company of North America,,ND,http://scherrerfinancial.com/images/Allianz.gif
Transamerica Life Insurance Company,,KS,http://www.medicaremall.com/wp-content/uploads/2011/02/transamerica-logo.png
4 Ever Life Insurance Company,,MD,http://www.bcsf.com/images/bcsf_images/4ever_logo_color-large.png
Celtic Insurance Company,Ambetter Insured by Celtic,IL,http://img.zanda.com/item/48070420000015/1024x768/Celtic_logo.jpg
National Foundation Life Insurance Company,,VA,https://ektron.nationallifegroup.com/uploadedImages/Logo_NationalLifeGroup.jpg
American General Life and Accident Insurance Company,,AL,http://rockymountnccoc.weblinkconnect.com/CWT/external/wcpages/wcmedia/images/American%20General%20Logo.JPG
"Mid Rogue Health Plan, Inc.",AllCare Health Plan,OR,http://www.allcarepebb.com/img/AllCare-PEBB-Mid-Rogue-Health-Plan-Logo.png
"Humana Benefit Plan of Illinois, Inc.",Humana,IL,http://www.wilsonfiquettdental.com/wp-content/uploads/2013/03/humana-logo.jpg
Mutual of Omaha Insurance Company,,MD,https://consumeraffairs.global.ssl.fastly.net/files/logos/mutual-of-omaha_logo_891.jpg
Delta Dental of Minnesota,Delta Dental of Minnesota,ND,http://mnyouth.net/files/Delta-Dental-logo.jpg
Health Net Life Insurance Company,Health Net Life Insurance Company,SD,http://premierhealthplansolutions.com/files/health-net.jpg
Health Net Life Insurance Company,Health Net Life Insurance Company,MD,http://premierhealthplansolutions.com/files/health-net.jpg
Allianz Life Insurance Company of North America,,WA,http://scherrerfinancial.com/images/Allianz.gif
Sterling Life Insurance,,IL,http://getnationcare.com/content/images/sterlinglife-logo.jpg
"Mesa Industries, Inc.",,OH,http://www.brandsoftheworld.com/sites/default/files/styles/logo-original-577x577/public/012013/logo_costamesa_curvas.png
Aetna Life Insurance Company,Aetna,NV,http://img.zanda.com/item/18070410000098/1024x768/Aetna_logo.jpg
Time Insurance Company,Assurant Health,TX,http://www.rehabilitation-center.org/wp-content/uploads/2012/08/Assurant-Health.jpg
American Medical Security Life Insurance Company,,NE,http://medicareinsurancetexas.com/inc/images/logo-sentinel-life.jpg
Transamerica Life Insurance Company,,NM,http://www.medicaremall.com/wp-content/uploads/2011/02/transamerica-logo.png
TransAmerica Premier Life Insurance,,WV,http://www.firstcommand.com/img/providers/transamerica.png
"Colorado Dental Service, Inc.",,CO,http://coloradodentalarts.com/wp-app/wp-content/uploads/2015/02/logo-CDA.png
All Savers Insurance Company,,TN,https://myallsaversmember.com/filestore/%7B7151ca57-92be-41aa-8557-b09de24ee5dc%7D/CMS/Graphics/logo_member.png
The MEGA Life and Health Insurance Company,,WA,http://www.trademarkia.com/logo-images/the-mega-life-and-health-insurance-company/starbridge-choices-78510546.jpg
American Income Life Insurance Co,,LA,http://www.fopohio.org/images/AIL%20Logo.png
Guarantee Trust Life Insurance Co.,,AL,http://www.refugeinsurance.com/images/GTL%20logo.jpg
